manufacture_year,mileage_km,engine_cc,fuel_type_enc,transmission_enc,usd_pkr,make_enc,model_enc
2022,92000,658.0,0,1,203.74,15.147879956442214,15.0619841366009
2021,63000,1800.0,1,1,162.29,15.582216036861638,15.785613749199268
2016,131000,1300.0,0,1,104.65,14.689538551572547,14.89805942031078
2021,64000,1800.0,0,1,162.29,15.361645422648705,15.516425399356564
2017,85000,1300.0,0,0,105.49,14.689538551572547,14.89805942031078
2017,123450,1800.0,0,1,105.49,15.361645422648705,15.516425399356564
2021,103000,2000.0,0,1,162.29,15.759401624594304,15.574707977139864
2019,74626,1300.0,0,1,149.69,15.361645422648705,15.14411735858117
2021,38000,1800.0,0,1,162.29,15.361645422648705,15.654800694282587
2021,38000,1300.0,0,1,162.29,14.689538551572547,14.89805942031078
2021,23000,1000.0,0,0,162.29,14.689538551572547,14.78798076906705
2022,51000,1300.0,0,0,203.74,15.582216036861638,15.30362924123614
2021,75000,1300.0,0,0,162.29,15.361645422648705,15.14411735858117
2016,125000,1800.0,0,1,104.65,15.582216036861638,15.358359962182487
2017,97850,1000.0,0,0,105.49,14.689538551572547,14.733813331245617
2022,55000,660.0,1,1,203.74,14.689538551572547,14.78798076906705
2020,71000,1000.0,0,1,161.28,15.582216036861638,15.33093305799946
2019,120000,1800.0,0,1,149.69,15.361645422648705,15.516425399356564
2017,130000,1000.0,0,0,105.49,14.689538551572547,14.733813331245617
2022,80000,1500.0,0,1,203.74,15.582216036861638,15.30362924123614
2020,49000,1600.0,0,1,161.28,15.582216036861638,15.358359962182487
2017,85000,796.0,0,0,105.49,14.689538551572547,14.157175401535097
2018,103235,1000.0,0,1,121.03,15.582216036861638,15.165652974498657
2016,27800,1300.0,0,0,104.65,15.361645422648705,15.14411735858117
2022,83297,1000.0,0,1,203.74,15.582216036861638,15.165652974498657
2022,12261,1000.0,0,1,203.74,15.582216036861638,15.165652974498657
2022,41055,660.0,0,1,203.74,15.249459269354036,15.087561993525611
2018,39000,1800.0,1,1,121.03,15.582216036861638,15.796740208553862
2018,123000,1500.0,0,1,121.03,15.361645422648705,15.354131830284432
2018,82000,2800.0,2,1,121.03,15.582216036861638,16.213552174451078
2015,100000,1000.0,0,0,104.24,14.689538551572547,14.788997292072693
2019,88000,1000.0,0,1,149.69,15.53212936554385,14.853586854373507
2020,62000,1600.0,0,1,161.28,15.582216036861638,15.358359962182487
2015,112000,1000.0,0,1,104.24,15.582216036861638,15.165652974498657
2021,98000,1500.0,0,1,162.29,15.582216036861638,15.30362924123614
2015,64527,1500.0,1,1,104.24,15.361645422648705,15.581728474180032
2015,53000,1800.0,0,1,104.24,15.361645422648705,15.516425399356564
2018,48000,1300.0,0,1,121.03,15.582216036861638,15.358359962182487
2022,40000,2700.0,0,1,203.74,15.582216036861638,16.39745756354409
2021,78000,1800.0,0,1,162.29,15.582216036861638,15.358359962182487
