listing_id,make,model,manufacture_year,price_pkr,mileage_km,fuel_type,transmission,engine_cc,usd_pkr,price_per_cc,fuel_type_enc,transmission_enc,car_age,log_price
11070515,Toyota,Prado,2016,19000000.0,145000,Petrol,Automatic,2700.0,104.65,7037.037037037037,0,1,9,16.759949589762293
11424796,KIA,Picanto,2020,2545000.0,37000,Petrol,Automatic,1000.0,161.28,2545.0,0,1,5,14.749641600893991
11449832,Honda,N Box,2024,3975000.0,9000,Petrol,Automatic,658.0,277.63,6041.033434650456,0,1,1,15.195535557642865
11449933,Changan,Alsvin,2021,3275000.0,103000,Petrol,Automatic,1500.0,162.29,2183.333333333333,0,1,4,15.001828732394953
11449927,Haval,H6,2024,8950000.0,15000,Petrol,Automatic,1500.0,277.63,5966.666666666667,0,1,1,16.007164201982874
11446764,Changan,Oshan X7,2025,8050000.0,12000,Petrol,Automatic,1500.0,280.67,5366.666666666667,0,1,0,15.901182773618341
11449930,Honda,Civic,2017,4750000.0,87000,Petrol,Automatic,1800.0,105.49,2638.8888888888887,0,1,8,15.373655386537118
11449926,Suzuki,Alto,2015,2600000.0,135937,Petrol,Automatic,660.0,104.24,3939.39393939394,0,1,10,14.77102238760702
11384663,Toyota,Corolla,2020,5380000.0,38500,Petrol,Automatic,1600.0,161.28,3362.5,0,1,5,15.498199118011556
11229679,Suzuki,Wagon R,2017,2350000.0,63000,Petrol,Manual,1000.0,105.49,2350.0,0,0,8,14.669926311652166
11449921,Suzuki,Alto,2021,2225000.0,68000,Petrol,Manual,660.0,162.29,3371.212121212121,0,0,4,14.615267923020578
11223584,Toyota,Hilux,2022,13525000.0,60100,Diesel,Automatic,2800.0,203.74,4830.357142857143,2,1,3,16.42005045663397
11449910,Suzuki,Alto,2025,2900000.0,20968,Petrol,Manual,660.0,280.67,4393.939393939394,0,0,0,14.88022163978423
11449876,Honda,Civic,2021,5585000.0,110000,Petrol,Automatic,1800.0,162.29,3102.777777777778,0,1,4,15.535595169536451
11449325,Suzuki,Wagon R,2022,2500000.0,165000,Petrol,Manual,1000.0,203.74,2500.0,0,0,3,14.731801689838349
11449818,Honda,City,2017,3365000.0,105000,Petrol,Automatic,1300.0,105.49,2588.4615384615386,0,1,8,15.02893881823774
11449807,Honda,City,2022,4190000.0,55000,Petrol,Automatic,1200.0,203.74,3491.6666666666665,0,1,3,15.248211530561777
11449754,Honda,N Wgn,2020,3800000.0,77000,Petrol,Automatic,660.0,161.28,5757.575757575758,0,1,5,15.150511887854474
11449793,Toyota,Corolla,2017,3825000.0,105000,Petrol,Automatic,1300.0,105.49,2942.3076923076924,0,1,8,15.157069286680647
11390943,Honda,Vezel,2016,5950000.0,96000,Hybrid,Automatic,1500.0,104.65,3966.6666666666665,1,1,9,15.598901945589025
11449907,Toyota,Corolla,2020,4650000.0,65000,Petrol,Automatic,1300.0,161.28,3576.923076923077,0,1,5,15.35237799261728
11449900,Suzuki,Mehran,2015,1375000.0,140000,Petrol,Manual,796.0,104.24,1727.3869346733668,0,0,10,14.13396501635527
11449896,Honda,N-Van,2021,2950000.0,45000,Petrol,Automatic,660.0,162.29,4469.69696969697,0,1,4,14.897316067298997
11449892,MG,HS,2025,7150000.0,9300,Hybrid,Automatic,1500.0,280.67,4766.666666666667,1,1,0,15.78262305453032
11449877,KIA,Sportage,2022,6250000.0,48000,Petrol,Automatic,2000.0,203.74,3125.0,0,1,3,15.648092181712572
11449890,Suzuki,Mehran,2017,1350000.0,108793,Petrol,Manual,800.0,105.49,1687.5,0,0,8,14.115615891155079
11449885,Toyota,Yaris Sedan,2022,4600000.0,68000,Petrol,Automatic,1300.0,203.74,3538.4615384615386,0,1,3,15.341567078850604
11449880,Toyota,Corolla,2022,6500000.0,30700,Petrol,Automatic,1800.0,203.74,3611.1111111111113,0,1,3,15.687312888712007
11220530,Suzuki,Mehran,2016,1220000.0,77000,Petrol,Manual,796.0,104.65,1532.6633165829146,0,0,9,14.014362236381235
11403220,Toyota,Raize,2021,5200000.0,79000,Petrol,Automatic,1000.0,162.29,5200.0,0,1,4,15.46416937585933
11310941,KIA,Carnival,2023,14500000.0,83000,Petrol,Automatic,3470.0,278.85,4178.674351585015,0,1,2,16.489659276356317
11310904,Toyota,Hilux,2018,9900000.0,52283,Diesel,Automatic,2800.0,121.03,3535.714285714286,2,1,7,16.108045416114916
11394166,Honda,Civic,2015,4300000.0,53000,Petrol,Automatic,1800.0,104.24,2388.8888888888887,0,1,10,15.274125813221904
11403104,Hyundai,Tucson,2023,7450000.0,42000,Petrol,Automatic,2000.0,278.85,3725.0,0,1,2,15.82372472458392
11383117,Honda,N Wgn,2017,3075000.0,91000,Petrol,Automatic,660.0,105.49,4659.090909090909,0,1,8,14.938815784425955
11395216,Toyota,Prado,2020,26500000.0,45000,Petrol,Automatic,2700.0,161.28,9814.814814814816,0,1,5,17.0926553286923
11449875,Toyota,Aqua,2019,5200000.0,59000,Hybrid,Automatic,1500.0,149.69,3466.6666666666665,1,1,6,15.46416937585933
11449869,Hyundai,Santa Fe,2025,12000000.0,31000,Hybrid,Automatic,1600.0,280.67,7500.0,1,1,0,16.300417291085605
11449795,Toyota,Vitz,2019,3850000.0,61000,Petrol,Automatic,996.0,149.69,3865.4618473895584,0,1,6,15.163583966004193
11449868,Toyota,Corolla,2019,4200000.0,65000,Petrol,Automatic,1300.0,149.69,3230.769230769231,0,1,6,15.250595321348806
11449866,Honda,City,2018,3900000.0,83000,Petrol,Automatic,1300.0,121.03,3000.0,0,1,7,15.176487367510099
11449855,Suzuki,Swift,2025,5000000.0,2200,Petrol,Automatic,1200.0,280.67,4166.666666666667,0,1,0,15.424948670398354
11436560,Honda,Civic,2021,6600000.0,23182,Petrol,Automatic,1800.0,162.29,3666.6666666666665,0,1,4,15.702580358511794
11449698,Toyota,Fortuner,2021,11800000.0,48000,Petrol,Automatic,2700.0,162.29,4370.37037037037,0,1,4,16.283610174181653
11338476,Honda,City,2018,3380000.0,86011,Petrol,Manual,1300.0,121.03,2600.0,0,0,7,15.033386563317146
11388674,Audi,Q3,2017,7300000.0,24000,Petrol,Automatic,1400.0,105.49,5214.285714285715,0,1,8,15.803385043104912
11314904,Honda,Civic,2018,5850000.0,94000,Petrol,Automatic,1800.0,121.03,3250.0,0,1,7,15.581952390148196
11449681,Hyundai,Sonata,2024,10400000.0,22500,Petrol,Automatic,2500.0,277.63,4160.0,0,1,1,16.15731646026544
11269918,Suzuki,Swift,2018,4850000.0,125000,Hybrid,Automatic,1200.0,121.03,4041.6666666666665,1,1,7,15.394489469099211
11449651,Toyota,Fortuner,2018,10850000.0,41500,Petrol,Automatic,2700.0,121.03,4018.518518518519,0,1,7,16.19967573011664
11085169,KIA,Carnival,2019,7175000.0,36000,Petrol,Automatic,3300.0,149.69,2174.242424242424,0,1,6,15.786113458982772
11242776,Mitsubishi,EK X,2022,4215000.0,28500,Hybrid,Automatic,660.0,203.74,6386.363636363636,1,1,3,15.254160386665989
11449853,Toyota,Corolla,2015,3900000.0,126000,Petrol,Automatic,1600.0,104.24,2437.5,0,1,10,15.176487367510099
11449850,Toyota,Hilux,2021,12500000.0,85000,Diesel,Automatic,2800.0,162.29,4464.285714285715,2,1,4,16.341239282272525
11449848,Hyundai,Tucson,2021,6700000.0,80600,Petrol,Automatic,2000.0,162.29,3350.0,0,1,4,15.717618233614914
11278502,KIA,Stonic,2025,6250000.0,2500,Petrol,Automatic,1400.0,280.67,4464.285714285715,0,1,0,15.648092181712572
11449844,Daihatsu,Mira,2021,3190000.0,21000,Petrol,Automatic,660.0,162.29,4833.333333333333,0,1,4,14.975531788240602
11449816,Toyota,Corolla,2021,6000000.0,18500,Petrol,Automatic,1598.0,162.29,3754.6933667083854,0,1,4,15.607270193858982
11449838,Honda,Civic,2018,5400000.0,170000,Petrol,Automatic,1800.0,121.03,3000.0,0,1,7,15.501909696719672
11410991,Honda,Civic,2023,7970000.0,17000,Petrol,Automatic,1500.0,278.85,5313.333333333333,0,1,2,15.891195176236904
11449827,Honda,City,2018,3685000.0,82000,Petrol,Automatic,1300.0,121.03,2834.6153846153848,0,1,7,15.119781354975958
11449831,KIA,Sorento,2023,8000000.0,17000,Petrol,Automatic,3500.0,278.85,2285.714285714286,0,1,2,15.894952224644102
11449829,Honda,Civic,2023,9300000.0,8000,Petrol,Automatic,1500.0,278.85,6200.0,0,1,2,16.04552506565036
11212121,Daihatsu,Cast,2022,3980000.0,92000,Petrol,Automatic,658.0,203.74,6048.632218844985,0,1,3,15.19679262851687
11449647,Haval,Jolion,2024,8700000.0,36000,Hybrid,Automatic,1500.0,277.63,5800.0,1,1,1,15.978833698567334
11189478,KIA,Stonic,2023,4875000.0,49000,Petrol,Automatic,1400.0,278.85,3482.1428571428573,0,1,2,15.39963086754227
11449654,Toyota,Prius,2021,8600000.0,63000,Hybrid,Automatic,1800.0,162.29,4777.777777777777,1,1,4,15.967272877502799
11422095,Suzuki,Swift,2016,2350000.0,131000,Petrol,Automatic,1300.0,104.65,1807.692307692308,0,1,9,14.669926311652166
11449565,Suzuki,Alto,2024,2950000.0,28500,Petrol,Manual,660.0,277.63,4469.69696969697,0,0,1,14.897316067298997
11439982,Honda,Civic,2021,6750000.0,64000,Petrol,Automatic,1800.0,162.29,3750.0,0,1,4,15.72505321099685
10813091,Suzuki,Swift,2017,2300000.0,85000,Petrol,Manual,1300.0,105.49,1769.2307692307693,0,0,8,14.648420115681892
11449826,KIA,Sportage,2024,8350000.0,38000,Petrol,Automatic,2000.0,277.63,4175.0,0,1,1,15.93777221658751
11449824,Honda,Civic,2017,4880000.0,123450,Petrol,Automatic,1800.0,105.49,2711.1111111111118,0,1,8,15.400655982747342
11449822,Hyundai,Elantra,2021,5480000.0,103000,Petrol,Automatic,2000.0,162.29,2740.0,0,1,4,15.516615841405933
11449811,Honda,City,2019,3875000.0,74626,Petrol,Automatic,1300.0,149.69,2980.769230769231,0,1,6,15.170056478834066
10930250,Honda,HR-V,2021,6500000.0,38000,Petrol,Automatic,1800.0,162.29,3611.1111111111113,0,1,4,15.687312888712007
11449815,Suzuki,Swift,2021,3400000.0,38000,Petrol,Automatic,1300.0,162.29,2615.3846153846152,0,1,4,15.039286283703994
11449814,Suzuki,Alto,2021,3150000.0,23000,Petrol,Manual,1000.0,162.29,3150.0,0,0,4,14.962913328262083
11449810,Suzuki,Alto,2024,2720000.0,40000,Petrol,Manual,1000.0,277.63,2720.0,0,0,1,14.81614280591917
11449806,Toyota,Yaris Sedan,2022,4450000.0,51000,Petrol,Manual,1300.0,203.74,3423.076923076923,0,0,3,15.308414878861498
11449805,KIA,Sportage,2024,7800000.0,36485,Petrol,Automatic,2000.0,277.63,3900.0,0,1,1,15.86963441986494
